"","site_code","location_name","sample_collector","lat","long","gap_num","gap_size","gaps","depth","analyte_avg","analyte_tot","soil_lyrs_n","layer_tops","calc_notes"
"136","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12667447,-116.7868472,0,0,NA,30,780,3170,4,"0,5,10,20,30,40,50,60,70,80",""
"137","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12749278,-116.7897313,0,0,NA,30,1150,4400,4,"0,5,10,20,30,40,50,60,70,80",""
"138","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12752508,-116.7925417,0,0,NA,30,3330,5023.33333333333,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"139","RCCZO","Reynolds Creek CZO","Mark S. Seyfried",43.12848567,-116.7966359,0,0,NA,30,2381.09090909091,4013.33333333333,3,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"140","RCCZO","Reynolds Creek CZO","Mark S. Seyfried",43.12863212,-116.7968813,0,0,NA,30,8014,11812.5,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"141","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12875942,-116.7929445,0,0,NA,30,4154.2,7027.77777777778,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"142","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.12971095,-116.7934963,0,0,NA,30,1820,7170,4,"0,5,10,20,30,40,50,60,70,80",""
"143","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.13058584,-116.7985533,0,0,NA,30,1283.33333333333,5070,4,"0,5,10,20,30,40,50,60,70,80",""
"144","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.13104556,-116.7960652,0,0,NA,30,3569.52380952381,5510.58823529412,2,"0,5,10,20,30,40,50,60,70,80","trim: cut to 30 cm"
"145","RCCZO","Reynolds Creek CZO","Nicholas R. Patton",43.13301998,-116.7920531,0,0,NA,30,1783.33333333333,6830,4,"0,5,10,20,30,40,50,60,70,80",""
"146","RCCZO","Reynolds Creek CZO","Ryan Will",43.14366477,-116.7688502,0,0,NA,30,1021.66666666667,3870,4,"0,5,10,20,30,40,50,60,70,80",""
"147","RCCZO","Reynolds Creek CZO","Ryan Will",43.14366666,-116.7688379,0,0,NA,30,710,3050,4,"0,5,10,20,30,40,50,60,70,80",""
"148","RCCZO","Reynolds Creek CZO","Ryan Will",43.14367186,-116.7691477,0,0,NA,30,621.666666666667,2570,4,"0,5,10,20,30,40,50,60,70,80",""
"149","RCCZO","Reynolds Creek CZO","Ryan Will",43.14368038,-116.7691358,0,0,NA,30,478.333333333333,1900,4,"0,5,10,20,30,40,50,60,70,80",""
"150","RCCZO","Reynolds Creek CZO","Ryan Will",43.14376393,-116.7690269,0,0,NA,30,1186.66666666667,5040,4,"0,5,10,20,30,40,50,60,70,80",""
"151","RCCZO","Reynolds Creek CZO","Ryan Will",43.1437656,-116.7355818,0,0,NA,30,1033.33333333333,3710,4,"0,5,10,20,30,40,50,60,70,80",""
"152","RCCZO","Reynolds Creek CZO","Ryan Will",43.14376704,-116.7355865,0,0,NA,30,995,3870,4,"0,5,10,20,30,40,50,60,70,80",""
"153","RCCZO","Reynolds Creek CZO","Ryan Will",43.14377305,-116.7690419,0,0,NA,30,1247.22222222222,4863.33333333333,4,"0,5,10,20,30,40,50,60,70,80",""
